sample_index,scaled_emg,source_file,dataset
346,579.056,emg_data.hdf5,1
347,588.126,emg_data.hdf5,1
348,596.199,emg_data.hdf5,1
349,598.740,emg_data.hdf5,1
350,601.014,emg_data.hdf5,1
351,606.813,emg_data.hdf5,1
352,609.691,emg_data.hdf5,1
353,605.878,emg_data.hdf5,1
354,601.030,emg_data.hdf5,1
355,596.441,emg_data.hdf5,1
356,592.554,emg_data.hdf5,1
357,584.903,emg_data.hdf5,1
358,581.368,emg_data.hdf5,1
359,581.134,emg_data.hdf5,1
360,577.818,emg_data.hdf5,1
361,574.203,emg_data.hdf5,1
362,575.487,emg_data.hdf5,1
363,579.392,emg_data.hdf5,1
364,581.081,emg_data.hdf5,1
365,586.789,emg_data.hdf5,1
366,589.853,emg_data.hdf5,1
367,584.897,emg_data.hdf5,1
368,585.018,emg_data.hdf5,1
369,586.624,emg_data.hdf5,1
370,584.839,emg_data.hdf5,1
371,581.431,emg_data.hdf5,1
372,583.277,emg_data.hdf5,1
373,584.899,emg_data.hdf5,1
374,591.536,emg_data.hdf5,1
375,597.419,emg_data.hdf5,1
376,601.269,emg_data.hdf5,1
377,606.273,emg_data.hdf5,1
378,612.529,emg_data.hdf5,1
379,621.859,emg_data.hdf5,1
380,631.975,emg_data.hdf5,1
381,636.900,emg_data.hdf5,1
382,627.028,emg_data.hdf5,1
383,602.683,emg_data.hdf5,1
384,576.966,emg_data.hdf5,1
385,570.158,emg_data.hdf5,1
386,580.362,emg_data.hdf5,1
387,594.694,emg_data.hdf5,1
388,598.698,emg_data.hdf5,1
389,597.987,emg_data.hdf5,1
390,590.254,emg_data.hdf5,1
391,577.978,emg_data.hdf5,1
392,571.743,emg_data.hdf5,1
393,574.092,emg_data.hdf5,1
394,583.077,emg_data.hdf5,1
395,584.810,emg_data.hdf5,1
396,584.146,emg_data.hdf5,1
397,583.462,emg_data.hdf5,1
398,581.646,emg_data.hdf5,1
399,585.077,emg_data.hdf5,1
400,585.989,emg_data.hdf5,1
401,582.400,emg_data.hdf5,1
402,578.289,emg_data.hdf5,1
403,577.956,emg_data.hdf5,1
404,576.560,emg_data.hdf5,1
405,580.821,emg_data.hdf5,1
406,584.554,emg_data.hdf5,1
407,583.632,emg_data.hdf5,1
408,581.190,emg_data.hdf5,1
409,582.558,emg_data.hdf5,1
410,589.352,emg_data.hdf5,1
411,596.326,emg_data.hdf5,1
412,600.436,emg_data.hdf5,1
413,596.359,emg_data.hdf5,1
414,590.142,emg_data.hdf5,1
415,586.048,emg_data.hdf5,1
416,582.725,emg_data.hdf5,1
417,580.843,emg_data.hdf5,1
418,578.490,emg_data.hdf5,1
419,576.605,emg_data.hdf5,1
420,574.639,emg_data.hdf5,1
421,576.205,emg_data.hdf5,1
422,581.748,emg_data.hdf5,1
423,585.648,emg_data.hdf5,1
424,586.862,emg_data.hdf5,1
425,578.274,emg_data.hdf5,1
426,569.052,emg_data.hdf5,1
427,572.158,emg_data.hdf5,1
428,585.187,emg_data.hdf5,1
429,591.443,emg_data.hdf5,1
430,595.210,emg_data.hdf5,1
431,596.460,emg_data.hdf5,1
432,591.001,emg_data.hdf5,1
433,588.361,emg_data.hdf5,1
434,588.294,emg_data.hdf5,1
435,585.963,emg_data.hdf5,1
436,579.933,emg_data.hdf5,1
437,576.613,emg_data.hdf5,1
438,579.234,emg_data.hdf5,1
439,587.470,emg_data.hdf5,1
440,589.466,emg_data.hdf5,1
441,584.514,emg_data.hdf5,1
442,582.521,emg_data.hdf5,1
443,582.963,emg_data.hdf5,1
444,584.826,emg_data.hdf5,1
445,589.499,emg_data.hdf5,1
446,599.823,emg_data.hdf5,1
447,614.515,emg_data.hdf5,1
448,622.094,emg_data.hdf5,1
449,625.317,emg_data.hdf5,1
450,629.887,emg_data.hdf5,1
451,625.354,emg_data.hdf5,1
452,609.905,emg_data.hdf5,1
453,600.297,emg_data.hdf5,1
454,598.703,emg_data.hdf5,1
455,598.750,emg_data.hdf5,1
456,594.867,emg_data.hdf5,1
457,590.088,emg_data.hdf5,1
458,590.226,emg_data.hdf5,1
459,591.048,emg_data.hdf5,1
460,586.588,emg_data.hdf5,1
461,583.915,emg_data.hdf5,1
462,586.758,emg_data.hdf5,1
463,588.350,emg_data.hdf5,1
464,590.990,emg_data.hdf5,1
465,596.426,emg_data.hdf5,1
466,604.747,emg_data.hdf5,1
467,601.768,emg_data.hdf5,1
468,587.654,emg_data.hdf5,1
469,574.516,emg_data.hdf5,1
470,574.026,emg_data.hdf5,1
471,583.718,emg_data.hdf5,1
472,592.900,emg_data.hdf5,1
473,597.985,emg_data.hdf5,1
474,601.763,emg_data.hdf5,1
475,609.139,emg_data.hdf5,1
476,609.111,emg_data.hdf5,1
477,609.522,emg_data.hdf5,1
478,608.539,emg_data.hdf5,1
479,600.884,emg_data.hdf5,1
480,596.010,emg_data.hdf5,1
481,594.132,emg_data.hdf5,1
482,588.132,emg_data.hdf5,1
483,582.001,emg_data.hdf5,1
484,580.507,emg_data.hdf5,1
485,580.550,emg_data.hdf5,1
486,581.274,emg_data.hdf5,1
487,584.296,emg_data.hdf5,1
488,585.997,emg_data.hdf5,1
489,586.995,emg_data.hdf5,1
490,584.855,emg_data.hdf5,1
491,579.306,emg_data.hdf5,1
492,573.303,emg_data.hdf5,1
493,572.737,emg_data.hdf5,1
494,570.421,emg_data.hdf5,1
495,565.046,emg_data.hdf5,1
496,561.747,emg_data.hdf5,1
497,564.444,emg_data.hdf5,1
498,572.126,emg_data.hdf5,1
499,581.383,emg_data.hdf5,1
500,589.557,emg_data.hdf5,1
501,591.710,emg_data.hdf5,1
502,595.233,emg_data.hdf5,1
503,602.575,emg_data.hdf5,1
504,604.882,emg_data.hdf5,1
505,601.922,emg_data.hdf5,1
506,603.227,emg_data.hdf5,1
507,603.755,emg_data.hdf5,1
508,596.423,emg_data.hdf5,1
509,586.818,emg_data.hdf5,1
510,584.071,emg_data.hdf5,1
511,590.056,emg_data.hdf5,1
512,587.860,emg_data.hdf5,1
513,583.038,emg_data.hdf5,1
514,579.670,emg_data.hdf5,1
515,579.654,emg_data.hdf5,1
516,578.711,emg_data.hdf5,1
517,576.770,emg_data.hdf5,1
518,577.545,emg_data.hdf5,1
519,585.597,emg_data.hdf5,1
520,591.803,emg_data.hdf5,1
521,585.073,emg_data.hdf5,1
522,579.857,emg_data.hdf5,1
523,582.537,emg_data.hdf5,1
524,588.893,emg_data.hdf5,1
525,589.876,emg_data.hdf5,1
526,587.750,emg_data.hdf5,1
527,589.475,emg_data.hdf5,1
528,593.902,emg_data.hdf5,1
529,601.306,emg_data.hdf5,1
530,613.140,emg_data.hdf5,1
531,616.649,emg_data.hdf5,1
532,608.566,emg_data.hdf5,1
533,595.871,emg_data.hdf5,1
534,583.339,emg_data.hdf5,1
535,572.754,emg_data.hdf5,1
536,567.431,emg_data.hdf5,1
537,561.300,emg_data.hdf5,1
538,557.121,emg_data.hdf5,1
539,560.211,emg_data.hdf5,1
540,564.625,emg_data.hdf5,1
541,566.096,emg_data.hdf5,1
542,566.843,emg_data.hdf5,1
543,575.020,emg_data.hdf5,1
544,588.869,emg_data.hdf5,1
545,604.955,emg_data.hdf5,1
546,622.850,emg_data.hdf5,1
547,642.019,emg_data.hdf5,1
548,634.609,emg_data.hdf5,1
549,612.040,emg_data.hdf5,1
550,594.439,emg_data.hdf5,1
551,586.293,emg_data.hdf5,1
552,580.565,emg_data.hdf5,1
553,564.959,emg_data.hdf5,1
554,545.437,emg_data.hdf5,1
555,543.032,emg_data.hdf5,1
556,558.843,emg_data.hdf5,1
557,577.681,emg_data.hdf5,1
558,593.134,emg_data.hdf5,1
559,606.766,emg_data.hdf5,1
560,614.533,emg_data.hdf5,1
